operation1,operation2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,Output
34.9983,0.84,449.44,555.32,1358.61,1137.23,5.48,8,194.64,2222.65,8341.91,564851.3766
41.9982,0.8408,445,549.9,1353.22,1125.78,3.91,5.71,138.51,2211.57,8303.96,559580.4512
24.9988,0.6218,462.54,537.31,1256.76,1047.45,7.05,9.02,175.71,1915.11,8001.42,541540.2784
42.0077,0.8416,445,549.51,1354.03,1126.38,3.91,5.71,138.46,2211.58,8303.96,559301.725
25.0005,0.6203,462.54,537.07,1257.71,1047.93,7.05,9.03,175.05,1915.1,7993.23,541298.4328
25.0045,0.6205,462.54,537.02,1266.38,1048.72,7.05,9.03,175.17,1915.15,7996.1,541078.462
42.0043,0.8409,445,549.74,1347.45,1127.19,3.91,5.71,138.71,2211.62,8307.75,559862.604
20.002,0.7002,491.19,607.44,1481.69,1252.36,9.35,13.65,334.41,2323.87,8709.12,597365.0052
41.9995,0.8407,445,549.33,1348.23,1127.45,3.91,5.71,138.06,2211.61,8312.33,560107.1232
42.0011,0.84,445,549.33,1356.4,1127.11,3.91,5.71,138.7,2211.56,8302.31,558920.0022
42.0029,0.84,445,549.81,1352.72,1126.23,3.91,5.71,137.81,2211.59,8301.22,559215.1158
0.0015,0.001,518.67,642.7,1585.52,1402.63,14.62,21.61,553.93,2388.12,9038.84,631513.289
20.0003,0.7,491.19,607.67,1488.74,1256.1,9.35,13.65,335.33,2323.87,8710.39,597527.4206
42.002,0.8407,445,549.47,1352.69,1121.2,3.91,5.71,138.6,2211.59,8312.22,560212.5682
10.0038,0.2513,489.05,604.57,1501.72,1305.97,10.52,15.49,395.21,2318.87,8765.1,604265.0154
35.0053,0.8419,449.44,555.56,1362.41,1126.95,5.48,8,194.44,2222.76,8336.74,564711.182
25.0077,0.6217,462.54,536.25,1260.07,1053,7.05,9.02,175.21,1915.12,8005.82,541924.1956
34.9996,0.8404,449.44,555.45,1365.15,1135.62,5.48,8,193.77,2222.7,8336.57,564847.0916
42.0018,0.84,445,549.07,1349.47,1134.82,3.91,5.71,138.72,2211.59,8300.02,559276.9636
20.002,0.7015,491.19,607.9,1482.44,1255.75,9.35,13.66,334.43,2323.94,8708.9,596820.593
42.0028,0.8403,445,549.68,1350.29,1130.26,3.91,5.72,137.93,2211.59,8303.44,559488.2374
